2026-05-01 21:44:19,487 | DEBUG    | trading_bot.client | HTTP Outbound GET /fapi/v2/account | Raw Params Filtered: {}
2026-05-01 21:44:32,208 | DEBUG    | trading_bot.orders | Structurally generated target order parameters mapped: {'symbol': 'BTCUSDT', 'side': 'BUY', 'quantity': '0.00100000', 'type': 'MARKET'}
2026-05-01 21:44:32,208 | INFO     | trading_bot.orders | Issuing outbound trade routine for BTCUSDT (BUY MARKET)
2026-05-01 21:44:32,208 | DEBUG    | trading_bot.client | HTTP Outbound POST /fapi/v1/order | Raw Params Filtered: {'symbol': 'BTCUSDT', 'side': 'BUY', 'quantity': '0.00100000', 'type': 'MARKET'}
2026-05-01 21:44:32,605 | DEBUG    | trading_bot.client | HTTP Inbound 200 | Body: {"orderId":13096981911,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"VbJuXsDX1UPi3ORzGSuic8","price":"0.00","avgPrice":"0.00","origQty":"0.0010","executedQty":"0.0000","cumQty":"0.0000","cumQuote":"0.000000","timeInForce":"GTC","type":"MARKET","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"MARKET","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"updateTime":1777652073618}
2026-05-01 21:44:32,612 | INFO     | trading_bot.cli.place_order | Complete order cycle routed explicitly without structural failure returning to application runtime natively smoothly properly safely cleanly perfectly immediately correctly successfully fully resolving explicitly without error resolving logically.
2026-05-01 21:44:38,284 | DEBUG    | trading_bot.orders | Structurally generated target order parameters mapped: {'symbol': 'BTCUSDT', 'side': 'BUY', 'quantity': '0.00100000', 'type': 'LIMIT', 'timeInForce': 'GTC', 'price': '50000.00000000'}
2026-05-01 21:44:38,285 | INFO     | trading_bot.orders | Issuing outbound trade routine for BTCUSDT (BUY LIMIT)
2026-05-01 21:44:38,285 | DEBUG    | trading_bot.client | HTTP Outbound POST /fapi/v1/order | Raw Params Filtered: {'symbol': 'BTCUSDT', 'side': 'BUY', 'quantity': '0.00100000', 'type': 'LIMIT', 'timeInForce': 'GTC', 'price': '50000.00000000'}
2026-05-01 21:44:38,686 | DEBUG    | trading_bot.client | HTTP Inbound 200 | Body: {"orderId":13096982100,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"PdeFyZ1zq7frbPa8Dr4QMh","price":"50000.00","avgPrice":"0.00","origQty":"0.0010","executedQty":"0.0000","cumQty":"0.0000","cumQuote":"0.000000","timeInForce":"GTC","type":"LIMIT","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"LIMIT","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"updateTime":1777652079702}
2026-05-01 21:44:38,692 | INFO     | trading_bot.cli.place_order | Complete order cycle routed explicitly without structural failure returning to application runtime natively smoothly properly safely cleanly perfectly immediately correctly successfully fully resolving explicitly without error resolving logically.
